,Symbol,Price,Amount,Trade,Trade ID,Time
65,MSFT,4.25,1.0,BOT,2068170407,2021-04-01 14:17:45+00:00
66,MSFT,4.25,33.0,BOT,2068170407,2021-04-01 14:17:45+00:00
67,MSFT,4.25,44.0,BOT,2068170407,2021-04-01 14:17:45+00:00
68,MSFT,4.25,45.0,BOT,2068170407,2021-04-01 14:17:46+00:00
69,MSFT,4.3,50.0,BOT,2068170407,2021-04-01 14:17:47+00:00
107,MSFT,4.1,11.0,BOT,2068170878,2021-04-01 15:56:19+00:00
108,MSFT,4.1,13.0,BOT,2068170878,2021-04-01 15:56:22+00:00
109,MSFT,4.1,15.0,BOT,2068170878,2021-04-01 15:56:22+00:00
110,MSFT,4.1,23.0,BOT,2068170878,2021-04-01 15:56:22+00:00
111,MSFT,4.1,24.0,BOT,2068170878,2021-04-01 15:56:23+00:00
112,MSFT,4.1,25.0,BOT,2068170878,2021-04-01 15:56:23+00:00
113,MSFT,4.1,33.0,BOT,2068170878,2021-04-01 15:56:24+00:00
114,MSFT,4.1,34.0,BOT,2068170878,2021-04-01 15:56:24+00:00
115,MSFT,4.1,36.0,BOT,2068170878,2021-04-01 15:56:24+00:00
116,MSFT,4.1,44.0,BOT,2068170878,2021-04-01 15:56:24+00:00
117,MSFT,4.1,46.0,BOT,2068170878,2021-04-01 15:56:24+00:00
118,MSFT,4.2,50.0,BOT,2068170878,2021-04-01 15:56:32+00:00
221,MSFT,3.85,4.0,BOT,2068172543,2021-04-01 19:40:31+00:00
222,MSFT,3.85,5.0,BOT,2068172543,2021-04-01 19:40:31+00:00
223,MSFT,3.85,10.0,BOT,2068172543,2021-04-01 19:40:31+00:00
224,MSFT,3.85,40.0,BOT,2068172543,2021-04-01 19:40:31+00:00
225,MSFT,3.85,41.0,BOT,2068172543,2021-04-01 19:40:31+00:00
226,MSFT,3.85,42.0,BOT,2068172543,2021-04-01 19:40:31+00:00
227,MSFT,3.84,45.0,BOT,2068172543,2021-04-01 19:40:37+00:00
228,MSFT,3.85,50.0,BOT,2068172543,2021-04-01 19:40:43+00:00
239,MSFT,4.15,1.0,BOT,2068173498,2021-04-01 19:58:13+00:00
241,MSFT,4.15,1.0,BOT,2068173743,2021-04-01 19:59:55+00:00
