,Executed Trade Price,Price of Stock,Qty,Basing Open,Basing High,Time
0,0.09,123.37,50.0,123.335,123.365,11:29:37
1,0.1,123.37,10.0,123.335,123.365,11:29:38
2,0.1,123.37,10.0,123.335,123.365,11:29:38
3,0.1,123.37,10.0,123.335,123.365,11:29:38
4,0.11,123.35,10.0,123.335,123.365,11:29:55
5,0.1,123.37,10.0,123.335,123.365,11:29:58
6,0.1,123.37,50.0,123.335,123.365,11:29:58
7,0.11,123.38,10.0,123.295,123.375,11:30:23
8,0.11,123.38,10.0,123.295,123.375,11:30:23
9,0.12,123.42,10.0,123.295,123.375,11:31:41
10,0.12,123.42,10.0,123.295,123.375,11:31:41
11,0.11,123.42,10.0,123.295,123.375,11:31:49
