,date,open,high,low,close,rbr,onWatch,bar,Symbol
0,08:30,120.32,121.655,120.3,121.605,False,False,0,AAPL
1,08:35,121.605,121.785,121.23,121.545,False,True,0,AAPL
2,08:40,121.545,121.605,121.085,121.185,False,False,0,AAPL
3,08:45,121.185,121.475,121.075,121.46,False,False,0,AAPL
4,08:50,121.46,121.625,121.29,121.625,False,False,1,AAPL
5,08:55,121.625,121.765,121.245,121.425,False,False,0,AAPL
6,09:00,121.425,121.975,121.425,121.745,False,False,0,AAPL
7,09:05,121.745,122.095,121.685,121.835,False,False,0,AAPL
8,09:10,121.835,122.085,121.705,121.915,False,False,0,AAPL
9,09:15,121.915,121.995,121.775,121.975,False,False,0,AAPL
10,09:20,121.975,122.175,121.955,122.055,False,False,0,AAPL
11,09:25,122.055,122.255,121.865,122.185,False,False,5,AAPL
12,09:30,122.185,122.355,122.075,122.285,False,False,5,AAPL
13,09:35,122.285,122.455,122.235,122.375,False,False,0,AAPL
14,09:40,122.375,122.445,122.195,122.285,False,False,0,AAPL
15,09:45,122.285,122.565,122.285,122.545,False,False,0,AAPL
16,09:50,122.545,122.685,122.495,122.645,True,False,1,AAPL
17,09:55,122.645,122.645,122.515,122.575,True,True,0,AAPL
18,10:00,122.575,122.755,122.575,122.605,True,False,0,AAPL
19,10:05,122.605,122.805,122.605,122.795,False,False,1,AAPL
20,10:10,122.795,122.835,122.685,122.745,False,True,0,AAPL
21,10:15,122.745,122.775,122.545,122.565,False,False,0,AAPL
22,10:20,122.565,122.715,122.415,122.685,False,False,0,AAPL
23,10:25,122.685,122.705,122.555,122.565,False,False,0,AAPL
24,10:30,122.565,122.715,122.475,122.615,False,False,0,AAPL
25,10:35,122.615,122.635,122.375,122.385,False,False,0,AAPL
26,10:40,122.385,122.485,122.255,122.315,False,False,0,AAPL
27,10:45,122.315,122.475,122.21,122.455,False,False,0,AAPL
28,10:50,122.455,122.475,122.335,122.405,False,True,0,AAPL
29,10:55,122.405,122.465,122.285,122.315,False,False,0,AAPL
30,11:00,122.315,122.755,122.315,122.685,False,False,0,AAPL
31,11:05,122.685,122.865,122.675,122.825,False,False,1,AAPL
32,11:10,122.825,122.975,122.815,122.975,False,False,2,AAPL
33,11:15,122.975,123.115,122.925,123.095,False,False,3,AAPL
34,11:20,123.095,123.195,123.045,123.135,False,False,0,AAPL
35,11:25,123.135,123.445,123.135,123.425,False,False,5,AAPL
36,11:30,123.425,123.485,123.295,123.475,False,False,0,AAPL
37,11:35,123.475,123.655,123.415,123.525,False,False,0,AAPL
38,11:40,123.525,123.765,123.495,123.65,False,False,5,AAPL
39,11:45,123.65,123.685,123.505,123.53,False,False,0,AAPL
40,11:50,123.53,123.615,123.425,123.485,False,False,0,AAPL
41,11:55,123.485,123.535,123.425,123.425,False,False,0,AAPL
42,12:00,123.425,123.445,123.265,123.285,False,False,0,AAPL
43,12:05,123.285,123.325,123.215,123.275,False,False,0,AAPL
44,12:10,123.275,123.335,123.175,123.185,False,False,0,AAPL
45,12:15,123.185,123.385,123.165,123.245,False,False,0,AAPL
46,12:20,123.245,123.385,123.175,123.275,False,False,0,AAPL
47,12:25,123.275,123.315,123.045,123.095,False,False,0,AAPL
48,12:30,123.095,123.175,123.085,123.115,False,False,0,AAPL
49,12:35,123.115,123.325,123.105,123.295,False,False,1,AAPL
50,12:40,123.295,123.355,123.165,123.355,False,False,0,AAPL
