,date,open,high,low,close,open_close,open_high,high1,high2,high_high,rally,rally2,base,rbr,onWatch,Symbol,basing_percent
0,08:30,119.565,119.94,119.005,119.885,0.002676368502488248,0.0031363693388533434,,,False,True,False,False,False,False,AAPL,
1,08:35,119.885,120.745,119.805,120.645,0.0063394085999081695,0.007173541310422483,119.94,,False,True,False,False,True,False,AAPL,1.0026763685024882
2,08:40,120.645,120.805,120.315,120.495,-0.00124331717021005,0.0013262049815575515,120.745,119.94,True,False,True,True,True,True,AAPL,1.0063394085999082
3,08:45,120.495,120.865,120.315,120.58,0.0007054234615543694,0.0030706668326485774,120.805,120.745,True,False,True,False,True,False,AAPL,0.9987566828297899
4,08:50,120.58,120.58,120.1,120.505,-0.0006219936971305593,0.0,120.865,120.805,False,False,False,True,False,False,AAPL,1.0007054234615544
5,08:55,120.505,121.045,120.265,121.02,0.004273681589975525,0.004481141861333607,120.58,120.865,True,True,True,False,False,False,AAPL,0.9993780063028694
6,09:00,121.02,121.66,120.955,121.61,0.004875227235167769,0.0052883820856056895,121.045,120.58,True,True,True,False,False,False,AAPL,1.0042736815899755
7,09:05,121.61,121.645,121.165,121.405,-0.0016857166351451221,0.00028780527917109274,121.66,121.045,False,False,False,True,False,True,AAPL,1.0048752272351678
8,09:10,121.405,121.435,121.115,121.155,-0.002059223260985956,0.0002471067913183241,121.645,121.66,False,False,False,False,False,False,AAPL,0.9983142833648548
9,09:15,121.155,121.305,121.005,121.125,-0.00024761668936487257,0.001238083446824363,121.435,121.645,False,False,False,False,False,False,AAPL,0.997940776739014
10,09:20,121.125,121.515,121.015,121.045,-0.0006604747162022563,0.003219814241486073,121.305,121.435,True,False,True,False,False,False,AAPL,0.9997523833106351
11,09:25,121.045,121.225,120.64,120.68,-0.0030154074930810433,0.0014870502705604744,121.515,121.305,False,False,False,False,False,False,AAPL,0.9993395252837978
12,09:30,120.68,120.785,120.405,120.595,-0.0007043420616507123,0.0008700696055683607,121.225,121.515,False,False,False,False,False,False,AAPL,0.996984592506919
13,09:35,120.595,120.735,120.235,120.395,-0.0016584435507276656,0.001160910485509354,120.785,121.225,False,False,False,False,False,False,AAPL,0.9992956579383493
14,09:40,120.395,120.425,119.955,120.08,-0.0026163877237426617,0.00024917978321359807,120.735,120.785,False,False,False,False,False,False,AAPL,0.9983415564492724
15,09:45,120.08,120.205,119.755,119.775,-0.0025399733510992058,0.0010409726848767489,120.425,120.735,False,False,False,False,False,False,AAPL,0.9973836122762574
16,09:50,119.775,119.825,119.285,119.345,-0.0035900647046546172,0.00041744938426213445,120.205,120.425,False,False,False,False,False,False,AAPL,0.9974600266489008
17,09:55,119.345,119.755,119.305,119.705,0.0030164648707528548,0.0034354183250240615,119.825,120.205,False,True,False,False,False,False,AAPL,0.9964099352953454
18,10:00,119.705,119.715,119.375,119.55,-0.0012948498391880134,8.35386993024946e-05,119.755,119.825,False,False,False,True,False,True,AAPL,1.003016464870753
19,10:05,119.55,119.675,119.315,119.345,-0.001714763697197811,0.0010455876202425764,119.715,119.755,False,False,False,False,False,False,AAPL,0.998705150160812
20,10:10,119.345,119.525,119.245,119.485,0.00117306967195945,0.0015082324353764868,119.675,119.715,False,True,False,False,False,False,AAPL,0.9982852363028022
21,10:15,119.485,119.605,119.315,119.375,-0.0009206176507511356,0.0010043101644558274,119.525,119.675,False,False,False,True,False,True,AAPL,1.0011730696719594
22,10:20,119.375,119.445,119.255,119.285,-0.0007539267015707092,0.0005863874345549166,119.605,119.525,False,False,False,False,False,False,AAPL,0.9990793823492489
23,10:25,119.285,119.58,119.095,119.555,0.0022634866077043234,0.0024730687010102,119.445,119.605,False,True,False,False,False,False,AAPL,0.9992460732984293
24,10:30,119.555,119.945,119.495,119.875,0.0026765923633473563,0.0032620969428295457,119.58,119.445,True,True,True,False,False,False,AAPL,1.0022634866077043
25,10:35,119.875,119.925,119.755,119.845,-0.00025026068821690207,0.0004171011470281306,119.945,119.58,False,False,False,True,False,True,AAPL,1.0026765923633474
26,10:40,119.845,119.865,119.485,119.505,-0.0028369977888105754,0.00016688222287117543,119.925,119.945,False,False,False,False,False,False,AAPL,0.9997497393117831
27,10:45,119.505,119.695,119.365,119.475,-0.00025103552152630547,0.0015898916363331888,119.865,119.925,False,False,False,False,False,False,AAPL,0.9971630022111895
28,10:50,119.475,119.595,119.335,119.485,8.369951872781014e-05,0.001004394224733246,119.695,119.865,False,False,False,False,False,False,AAPL,0.9997489644784737
29,10:55,119.485,119.775,119.335,119.725,0.002008620328911536,0.002427082897434877,119.595,119.695,True,True,True,False,False,False,AAPL,1.0000836995187279
30,11:00,119.725,120.045,119.585,119.955,0.0019210691167258634,0.00267279181457513,119.775,119.595,True,True,True,False,False,False,AAPL,1.0020086203289116
31,11:05,119.955,119.975,119.655,119.705,-0.002084114876411988,0.00016672919011292585,120.045,119.775,False,False,False,False,False,False,AAPL,1.001921069116726
32,11:10,119.705,119.785,119.535,119.595,-0.0009189256923269657,0.0006683095944196006,119.975,120.045,False,False,False,False,False,False,AAPL,0.997915885123588
33,11:15,119.595,119.955,119.595,119.905,0.002592081608762927,0.0030101592875956306,119.785,119.975,False,True,False,False,False,False,AAPL,0.999081074307673
34,11:20,119.905,120.115,119.865,120.045,0.0011675910095492311,0.0017513865143237875,119.955,119.785,True,True,True,False,False,False,AAPL,1.002592081608763
35,11:25,120.045,120.355,120.035,120.295,0.002082552376192261,0.0025823649464784227,120.115,119.955,True,True,True,False,False,False,AAPL,1.0011675910095492
36,11:30,120.295,120.345,120.045,120.115,-0.0014963215428738254,0.00041564487302046767,120.355,120.115,False,False,False,True,False,True,AAPL,1.0020825523761923
37,11:35,120.115,120.165,119.915,119.915,-0.0016650709736501573,0.0004162677434126576,120.345,120.355,False,False,False,False,False,False,AAPL,0.9985036784571262
38,11:40,119.915,120.215,119.895,120.175,0.0021682024767542916,0.002501772088562708,120.165,120.345,False,True,False,False,False,False,AAPL,0.9983349290263498
39,11:45,120.175,120.335,120.155,120.305,0.0010817557728313681,0.0013313917204077104,120.215,120.165,True,True,True,False,True,False,AAPL,1.0021682024767542
40,11:50,120.305,120.335,120.155,120.255,-0.0004156103237605367,0.0002493661942561566,120.335,120.215,False,False,False,True,True,True,AAPL,1.0010817557728313
41,11:55,120.255,120.345,120.145,120.155,-0.0008315662550413232,0.0007484096295372617,120.335,120.335,True,False,True,False,True,False,AAPL,0.9995843896762394
42,12:00,120.155,120.185,119.775,119.965,-0.0015812908326744432,0.00024967749989597717,120.345,120.335,False,False,False,False,False,False,AAPL,0.9991684337449587
43,12:05,119.965,120.175,119.885,120.12,0.001292043512691211,0.0017505105655815758,120.185,120.345,False,True,False,False,False,False,AAPL,0.9984187091673256
44,12:10,120.12,120.485,120.085,120.475,0.00295537795537787,0.003038628038627996,120.175,120.185,True,True,True,False,False,False,AAPL,1.0012920435126913
45,12:15,120.475,120.595,120.165,120.275,-0.0016600954554885964,0.0009960572732932522,120.485,120.175,True,False,True,True,False,True,AAPL,1.002955377955378
46,12:20,120.275,120.335,119.995,120.025,-0.0020785699438786113,0.0004988567865307675,120.595,120.485,False,False,False,False,False,False,AAPL,0.9983399045445114
47,12:25,120.025,120.135,119.915,119.975,-0.00041657987919192975,0.0009164757342220323,120.335,120.595,False,False,False,False,False,False,AAPL,0.9979214300561214
48,12:30,119.975,120.225,119.955,119.995,0.00016670139612427783,0.002083767451552407,120.135,120.335,False,False,False,False,False,False,AAPL,0.999583420120808
49,12:35,119.995,120.035,119.825,119.955,-0.00033334722280100215,0.0003333472228008837,120.225,120.135,False,False,False,False,False,False,AAPL,1.0001667013961242
50,12:40,119.955,120.365,119.955,120.215,0.00216747947146851,0.003417948397315632,120.035,120.225,True,True,True,False,False,False,AAPL,0.999666652777199
51,12:45,120.215,120.325,119.965,120.155,-0.0004991057688308637,0.0009150272428565439,120.365,120.035,False,False,False,True,False,True,AAPL,1.0021674794714686
52,12:50,120.155,120.235,119.985,120.065,-0.0007490324996879315,0.000665806666389233,120.325,120.365,False,False,False,False,False,False,AAPL,0.9995008942311692
53,12:55,120.065,120.095,119.885,119.955,-0.0009161704076958268,0.00024986465664432716,120.235,120.325,False,False,False,False,False,False,AAPL,0.9992509675003121
54,13:00,119.955,119.955,119.715,119.735,-0.00183402109124254,0.0,120.095,120.235,False,False,False,False,False,False,AAPL,0.9990838295923041
55,13:05,119.735,119.835,119.615,119.615,-0.0010022132208627765,0.0008351776840522347,119.955,120.095,False,False,False,False,False,False,AAPL,0.9981659789087575
56,13:10,119.615,119.785,119.555,119.715,0.0008360155498892993,0.0014212264348117019,119.835,119.955,False,True,False,False,False,False,AAPL,0.9989977867791372
57,13:15,119.715,119.905,119.665,119.875,0.0013365075387378072,0.0015871027022511608,119.785,119.835,True,True,True,False,False,False,AAPL,1.0008360155498892
58,13:20,119.875,119.935,119.715,119.785,-0.0007507820646507062,0.0005005213764338041,119.905,119.785,True,False,True,True,False,True,AAPL,1.0013365075387377
59,13:25,119.785,119.835,119.545,119.585,-0.0016696581374963714,0.0004174145343740632,119.935,119.905,False,False,False,False,False,False,AAPL,0.9992492179353493
60,13:30,119.585,119.725,119.485,119.615,0.0002508675837270656,0.0011707153907262666,119.835,119.935,False,False,False,False,False,False,AAPL,0.9983303418625036
61,13:35,119.615,120.095,119.585,120.015,0.0033440621995569596,0.004012874639468328,119.725,119.835,True,True,True,False,False,False,AAPL,1.0002508675837272
62,13:40,120.015,120.095,119.995,120.025,8.332291796862989e-05,0.0006665833437486839,120.095,119.725,False,False,False,False,False,False,AAPL,1.0033440621995569
63,13:45,120.025,120.345,120.025,120.225,0.0016663195167672454,0.0026661112268276874,120.095,120.095,True,True,True,False,False,False,AAPL,1.0000833229179686
64,13:50,120.225,120.475,120.145,120.415,0.0015803701393222037,0.0020794343938448745,120.345,120.095,True,True,True,False,False,False,AAPL,1.0016663195167672
65,13:55,120.415,120.605,120.285,120.575,0.001328738114022311,0.001577876510401509,120.475,120.345,True,True,True,False,False,False,AAPL,1.0015803701393222
66,14:00,120.575,120.835,120.545,120.805,0.0019075264358283555,0.0021563342318058542,120.605,120.475,True,True,True,False,True,False,AAPL,1.0013287381140223
67,14:05,120.805,120.915,120.685,120.715,-0.0007450022763958727,0.0009105583378171385,120.835,120.605,True,False,True,True,True,True,AAPL,1.0019075264358284
68,14:10,120.715,121.045,120.705,120.815,0.0008283974651037097,0.0027337116348423833,120.915,120.835,True,True,True,False,True,False,AAPL,0.9992549977236042
69,14:15,120.815,121.095,120.815,120.905,0.0007449406116790417,0.0023175930141124956,121.045,120.915,True,False,True,False,False,False,AAPL,1.0008283974651038
70,14:20,120.905,120.975,120.675,120.755,-0.0012406434804185574,0.0005789669575285818,121.095,121.045,False,False,False,False,False,False,AAPL,1.000744940611679
71,14:25,120.755,120.955,120.745,120.915,0.0013249968945386178,0.0016562461181731842,120.975,121.095,False,True,False,False,False,False,AAPL,0.9987593565195815
72,14:30,120.915,121.075,120.795,120.885,-0.0002481081751643811,0.0013232436008766206,120.955,120.975,True,False,True,True,False,True,AAPL,1.0013249968945386
73,14:35,120.885,120.895,120.675,120.805,-0.0006617859949538677,8.272324936915998e-05,121.075,120.955,False,False,False,False,False,False,AAPL,0.9997518918248356
74,14:40,120.805,121.075,120.755,120.925,0.0009933363685277127,0.0022350068291875007,120.895,121.075,False,True,False,False,False,False,AAPL,0.9993382140050461
75,14:45,120.925,121.025,120.885,120.895,-0.0002480876576390419,0.0008269588587968454,121.075,120.895,False,False,False,True,False,True,AAPL,1.0009933363685277
76,14:50,120.895,121.04,120.705,120.815,-0.0006617312543942951,0.00119938789858977,121.025,121.075,False,False,False,False,False,False,AAPL,0.9997519123423609
77,14:55,120.82,120.82,120.785,120.785,-0.00028968713789104944,0.0,121.04,121.025,False,False,False,False,False,False,AAPL,0.9993796269490053
